DS,14-3-2014,18,22,47.5,42.8,5.2,2.9,1.5,6,47.3,43.1,5.8,2.4,1.4,5.5
EBS170,11-3-2014,2,6,52.5,32.6,10.4,2.9,1.6,8.8,54,34.2,9.2,2.1,0.5,8.1
EBS173,11-3-2014,3,7,46.8,37.8,13.4,1.5,0.5,8.1,46.7,37.6,12.8,1.2,1.7,8.1
EBS176,11-3-2014,4,8,49.2,41.1,6.8,1.9,1.1,8.1,49.9,39.5,7.6,1.3,1.7,8.4
EBS181,11-3-2014,1,5,61,27.7,9.6,0.8,1,5,59.4,28.7,10.2,0.5,1.2,5.1
EBS196,12-3-2014,10,14,60.7,29.8,6.1,3,0.4,7.3,59.7,31.1,6.3,2.6,0.4,7.2
EBS197,12-3-2014,1,5,70.3,19.2,7.1,2.8,0.5,9.8,70.6,18.9,7.2,2.8,0.6,10.4
EBS198,12-3-2014,2,6,54.7,37.5,4.8,2.5,0.6,7.4,54.5,38.2,4.5,2.2,0.6,7.5
EBS199,12-3-2014,3,7,66,25.4,6.2,1.9,0.5,4.9,66.9,25.7,4.7,2,0.7,4.9
EBS200,12-3-2014,4,8,50.6,42.8,4.3,1.9,0.5,5.8,51.8,40.4,5.1,1.8,0.9,5.4
FL,14-3-2014,28,32,54.8,33.3,7.7,3.3,1,7,53.5,33.9,8.4,3.3,1,6.5
FL,24-3-2014,1,2,59.7,30.2,6.6,2.6,1,7.3,59.7,30.2,6.6,2.6,1,7.3
HW123,27-2-2014,18,22,86.8,7.1,2.4,3.4,0.4,12.9,86.5,7.1,2.2,3.9,0.3,12.9
HW1241,27-2-2014,1,13,86,8.2,5.5,0.2,0.1,16.4,85.9,7.8,5.5,0.5,0.2,15.5
HW1401,7-3-2014,9,12,44.1,46.8,4.3,3.9,0.9,8.1,44.3,45.9,4.5,4.2,1,8.4
IPR8033,31-1-2014,12,16,68.2,26.2,4.2,1,0.4,7.2,67,26.8,4.8,1.1,0.3,6.6
IPR8577,05-03-2014,10,14,60.8,27.1,10.3,0.9,0.9,9.7,58,28.5,11.6,1,0.9,9.9
JCR,14-3-2014,27,31,64,27.4,7,0.9,0.9,6.4,65.5,25.4,7.2,0.9,0.9,6.1
JGF,11-2-2014,45,48,56.6,35.7,5.9,1.1,0.7,6.5,57.4,35.3,6,0.8,0.6,6.2
JGF,24-3-2014,1,2,66.3,26.1,6.2,0.7,0.6,8.6,67.7,24.9,6.1,0.6,0.7,8.8
JP486,06-03-2014,18,22,48.8,39.3,5.7,5,1.2,7.7,48.2,40,5.5,4.8,1.5,8.6
JP491,06-03-2014,19,23,67.7,23.9,6.7,0.8,0.9,5.4,69.2,22.1,6.3,1.8,0.5,5.5
JP494,06-03-2014,11,15,46.3,42.9,7,2.7,1,5.4,46.9,42.6,6,2.8,1.5,5.5
JS,14-3-2014,25,29,62.3,30.8,5.1,0.7,1.2,7.8,63.1,30.4,4.8,0.7,1,6.9
LA1128,7-3-2014,4,8,59.4,30.6,6.9,1.5,1.6,10,60.3,30.3,7.1,1.4,1,9.7
LB,14-3-2014,20,24,58.1,31.6,8,1.6,0.7,7,57.3,32.5,7.4,1.7,1.2,6.7
LI1480,29-01-2014,62,64,51.7,40.9,5.2,1.7,0.5,6.8,51.8,40.5,5.7,1.6,0.4,6.7
LI2186,13-2-2014,20,25,39.5,51.6,5.5,2.2,1.3,7.4,39.5,51.9,5.3,2.4,0.9,7.4
LI2197,13-2-2014,23,26,56.7,29.1,7.9,5.3,1.3,8.4,55.3,31.2,6.8,5.6,1.1,9.3
LI2214,13-2-2014,22,24,33.8,57.2,5,3.4,0.6,6.3,34,55.6,5.1,3.5,1.8,6.4
LI3133,03-03-2014,17,22,57.3,29.4,9,3.3,1,5.9,56.4,30.9,7.3,4,1.4,5.7
LI3136,03-03-2014,14,9,48.7,39.8,8.1,2.7,0.7,6.4,46.5,39.7,9.3,3.8,0.6,6.3
LI3145,03-03-2014,20,21,57.5,33.5,5.7,2.8,0.5,10.4,55.5,35.4,4.8,3.5,0.9,11.1
LI3151,03-03-2014,12,13,62,29.8,3.7,3.6,0.9,6.7,61.9,30.6,4,3.1,0.3,6.2
LI3154,03-03-2014,19,24,61.1,27.6,8.1,2.8,0.4,9.7,60.9,28.5,6.9,2.8,0.9,10.3
LI3157,03-03-2014,11,16,50.9,41,5.4,2.1,0.6,8.3,51.4,39.1,5.5,2.8,1.2,8.7
LI3348,06-03-2014,2,6,50.9,38.6,6.3,3.2,1,5.1,53.1,36.8,6.7,2.5,0.8,5.2
LI3366,06-03-2014,3,7,50.7,30.5,7.7,10.2,0.9,5.2,50.1,32.6,6.4,10.3,0.7,5.3
LI3384,06-03-2014,20,24,42.1,47,7.5,1.7,1.7,6.5,45.3,46,5.9,1.6,1.4,6.3
LI4004,17-3-2014,6,16,83.2,11.4,5,0.3,0.2,10.7,83.3,11.2,4.9,0.4,0.2,10.8
LID198,13-2-2014,36,37,39.1,52,6.2,1.9,0.8,4.3,36.7,53.4,6.1,2.4,1.4,4.1
LID285,06-03-2014,12,16,48.4,40.1,7,3.3,1,6.7,47.8,41.3,6.2,3.3,1.4,7.3
LMM,06-03-2014,20,23,54.8,33.5,5.3,5.5,0.9,8.7,56.7,32,5.3,5,1,8.9
LMM,18-3-2014,21,24,55.6,32.6,5.3,5.6,0.9,9,53.7,33.6,6,5.5,1.2,8.5
MF1278,06-03-2014,4,8,57.9,32,6.7,2.5,0.9,9,59,32.4,5.3,2.4,0.8,8.8
MF1290,06-03-2014,10,14,48.4,36.1,5.8,8.5,1.3,6.8,48.2,36,6.8,8.3,0.6,6.7
MF711,5-2-2014,23,27,58.2,32.5,6.4,2.5,0.5,5.2,58.3,31.8,7.2,2,0.6,5.2
MF855,13-2-2014,40,42,53.6,34.8,8.7,2.2,0.7,8.1,53.7,35.5,8.3,1.9,0.6,8.3
MJC,29-01-2014,36,37,69.4,22.6,5.7,1.9,0.3,5.9,68.9,23.3,5.5,2.2,0.2,6.5
